observation_id,study_number,reference,independent_variable ,dependent_variable,additional independent variable,genus,organism(s),generation_time_metric ,generation_local_time ,generation_local_time_unit,generation_time_standardized_hours,generation_time_standardized_days,generation_local_time_source,generation_local_time_TEMP,generation_time_temp_conditions,dispersal,wave_type,variation_color,larger group,organization_level,duration,duration_unit,duration_standardized_days,flux_period,flux_period_unit,flux_period_days,flux_period_hours,manipulate_explicity ,natural_period ,notes
,3,long_2007 ,temperature ,density,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,high ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,closed,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,closed ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,low ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,low ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,high ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,high ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,closed,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,closed ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,low ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,low ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,high ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,high ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,closed,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,closed ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,low ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,low ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,high ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,high productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,high ,,red  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population density,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,4,96,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population density,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,8,192,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population density,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,16,384,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population density,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,20,480,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population density,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,28,672,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population variability ,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,4,96,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population variability ,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,8,192,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population variability ,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,16,384,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population variability ,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,20,480,y,periodic (manipulated on mathematical rules),
,4,orland_2004,nutrient level,population variability ,,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,referenced In paper,22 C,constant,none ,square,red,plankton,population,40,days,40,,,28,672,y,periodic (manipulated on mathematical rules),
,5,gonzalez&holt_2002,temperature,population density  ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,white,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population density  ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,white,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population density  ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population density  ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population variability ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population variability ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population variability ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,population variability ,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,growth rate,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,growth rate,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,growth rate,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,5,gonzalez&holt_2002,temperature,growth rate,sink source dynamics ,Paramecium,Paramecium tetraurelia,generation time,5.5,hours ,5.5,0.229166667,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1976.tb03786.x,27 C,constant,low ,square,red,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatially correlated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,open,square,white ,plankton,population,50,days,50,,,1,24,y ,circadian ,i believe they used the variation protocol from gonzalez and holt 2002 but unsure
,6,matthews_2007,temperature,population density,spatial uncorrelated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,open,square,white,plankton,population,50,days,50,,,1,24,y ,circadian ,i believe they used the variation protocol from gonzalez and holt 2002 but unsure
,6,matthews_2007,temperature,population density,spatially correlated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,closed ,square,white,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatial uncorrelated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,closed ,square,white,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatially correlated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,open,square,red  ,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatial uncorrelated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,open,square,red  ,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatially correlated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,closed ,square,red  ,plankton,population,50,days,50,,,1,24,y ,circadian ,
,6,matthews_2007,temperature,population density,spatial uncorrelated,Paramecium,Paramecium aurelia,doubling time ,0.56,days ,12,0.5,https://books.google.com/books?id=8Gc40LlQZZEC&pg=PA86&lpg=PA86&dq=paramecium+aurelia+generation+time&source=bl&ots=kGQJZNWKzA&sig=ACfU3U0ediWrWRhAEBNS3I44OjJV-1b8HA&hl=en&sa=X&ved=2ahUKEwjw6e29tp3qAhVuGjQIHae9AQwQ6AEwC3oECAoQAQ#v=onepage&q=paramecium%20aurelia%20generation%20time&f=false,,constant,closed ,square,red  ,plankton,population,50,days,50,,,1,24,y ,circadian ,
,7,fontaine&gonzalez_2005,resource concentration,population density  ,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,open ,sinusoidal ,red,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population density  ,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,open,sinusoidal ,white,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population density  ,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,closed,sinusoidal ,red,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population density  ,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,closed ,sinusoidal ,white,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population synchrony,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,open ,sinusoidal ,red,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population synchrony,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,open,sinusoidal ,white,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population synchrony,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,closed,sinusoidal ,red,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,7,fontaine&gonzalez_2005,resource concentration,population synchrony,,Brachionus,Brachionus calyciflorus,generation time,5,days,120,5,referenced in paper,20 C,constant,closed ,sinusoidal ,white,plankton,population,64,days,64,"5, 9",days ,0.291666667,7,y,stochastic (manipulated on mathematical rules),"not sure about how to classify red  (autocorrelated series) as periodic or not as in this study even though they had sinusoidal patterns, they had varying periods and were using color spectra to alter resource fluxes"
,8,vasseur_2009,environmental synchrony,prey density ,with predator,Tetrahymena,Tetrahymena pyriformis,generation time,2.5,hours,2.5,0.104166667,https://www.sciencedirect.com/science/article/abs/pii/001393517290045X,34 C,constant,open,,red,plankton,predator-prey,64,days,64,,,1,24,y,periodic (manipulated on mathematical rules),this study still confuses me on what varied and how but alas
,8,vasseur_2009,environmental synchrony,prey density ,with predator,Tetrahymena,Tetrahymena pyriformis,generation time,2.5,hours,2.5,0.104166667,https://www.sciencedirect.com/science/article/abs/pii/001393517290045X,34 C,constant,closed ,,red,plankton,predator-prey,64,days,64,,,1,24,y,periodic (manipulated on mathematical rules),
,8,vasseur_2009,environmental synchrony,prey density ,without predator,Tetrahymena,Tetrahymena pyriformis,generation time,2.5,hours,2.5,0.104166667,https://www.sciencedirect.com/science/article/abs/pii/001393517290045X,34 C,constant,open,,white ,plankton,predator-prey,64,days,64,,,1,24,y,stochastic ,
,8,vasseur_2009,environmental synchrony,prey density ,without predator,Tetrahymena,Tetrahymena pyriformis,generation time,2.5,hours,2.5,0.104166667,https://www.sciencedirect.com/science/article/abs/pii/001393517290045X,34 C,constant,closed ,,white,plankton,predator-prey,64,days,64,,,1,24,y,stochastic ,
,9,cooper_2010,temperature ,fecundity ,mean temperature ,Drosophila,Drosophila melanogaster ,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,constant,none ,square,not considered,insect ,population,20,days,20,,,1,24,y ,stochastic ,
,10,pushkar_2010 ,temperature ,weight gain,,Oreochromis ,Oreochromis niloticus,generation time,6,months,4320,180,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260159/,,constant,none ,sinusoidal ,not considered,fish,population,21,days,11,,,0.125,3,y ,periodic,
,10,pushkar_2010 ,temperature ,weight gain ,,Pistia,Pistia stratiotes,doubling time,22.4,days,537.6,22.4,https://www.ablimno.org.br/acta/pdf/acta_limnologica_contents1601E_files/art7_16(1).pdf,28.4 C,constant,none ,sinusoidal ,not considered,plant ,population,21,days,11,,,0.125,3,y ,periodic,
,10,pushkar_2010 ,temperature ,growth rate ,,Oreochromis,Oreochromis niloticus,generation time,6,months,4320,180,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260159/,,constant,none ,sinusoidal ,not considered,fish,population,24,days,11,,,0.125,3,y ,periodic,
,10,pushkar_2010 ,temperature ,growth rate ,,Pistia,Pistia stratiotes,doubling time,22.4,days,537.6,22.4,https://www.ablimno.org.br/acta/pdf/acta_limnologica_contents1601E_files/art7_16(1).pdf,28.4 C,constant,none ,sinusoidal ,not considered,plant ,population,24,days,11,,,0.125,3,y ,periodic,
,10,pushkar_2010 ,temperature ,destruction of organic matter ,,Oreochromis,Oreochromis niloticus,generation time,6,months,4320,180,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260159/,,constant,none ,sinusoidal ,not considered,fish,population,24,days,11,,,0.125,3,y ,periodic,
,10,pushkar_2010 ,temperature ,destruction of organic matter ,,Pistia,Pistia stratiotes,doubling time,22.4,days,537.6,22.4,https://www.ablimno.org.br/acta/pdf/acta_limnologica_contents1601E_files/art7_16(1).pdf,28.4 C,constant,none ,sinusoidal ,not considered,plant ,population,24,days,11,,,0.125,3,y ,periodic,
